src,dst,time
34,163,12839453
104,59,12883080
82,82,12905693
174,174,12931529
175,175,13100844
176,177,13118940
178,178,13179909
64,65,13206825
112,131,13294862
88,13,13321786
17,98,13364148
57,57,13497872
5,27,13629259
179,179,13715205
180,181,13749065
179,179,13818554
182,183,13866140
184,184,13892778
57,82,14070220
12,12,14096520
185,186,14173693
181,187,14210888
57,57,14232244
188,189,14255133
171,80,14322551
70,190,14432333
146,146,14432985
191,192,14522006
166,167,14524745
193,194,14605812
195,195,14616013
196,189,14696190
140,145,14737643
197,197,14776505
198,199,14786836
24,97,14838884
200,28,14878467
91,164,14931912
24,97,14954569
185,186,15020389
201,201,15026383
202,202,15028045
139,203,15119721
204,205,15134400
17,98,15173666
206,206,15177825
207,206,15207863
151,152,15214906
208,68,15220731
209,210,15256877
68,211,15262394
68,211,15262394
212,213,15271815
214,163,15287505
215,215,15292117
208,211,15306600
196,189,15354577
68,68,15435251
68,68,15435251
216,217,15472002
184,218,15477182
132,132,15500797
219,219,15504699
168,169,15530653
217,216,15534026
220,143,15546635
202,202,15548695
221,222,15553173
223,223,15595255
17,98,15599724
224,224,15634537
224,224,15637648
220,225,15644205
13,13,15644698
140,226,15645462
220,227,15648422
208,211,15659809
140,145,15675450
228,229,15683160
230,230,15687561
231,232,15689837
233,224,15691221
234,235,15695568
146,146,15707747
236,236,15764380
140,145,15769726
224,224,15773429
237,238,15780875
237,237,15781773
239,240,15783135
241,242,15786089
68,68,15801695
24,243,15815454
244,244,15850664
39987,245,15857287
237,246,15869419
247,248,15869541
239,249,15881102
221,221,15950742
206,207,15954692
250,251,15981473
239,239,16000437
47,48,16065639
47,48,16065836
224,224,16102279
5,27,16125974
207,252,16134301
253,253,16152922
254,207,16155341
223,223,16158159
220,256,16159953
220,256,16159953
257,258,16186401
45,219,16198182
208,211,16210451
254,252,16210525
259,260,16216023
219,45,16223648
237,238,16239964
237,237,16242161
261,261,16243422
262,262,16243800
254,263,16251197
264,265,16252609
266,267,16280163
159,268,16309568
269,245,16314686
270,271,16387709
237,237,16388944
70,95,16399198
272,272,16412354
273,274,16417882
264,265,16422580
275,275,16470216
276,276,16475571
195,195,16501279
277,278,16506244
140,145,16549893
207,279,16558021
70,70,16562768
207,279,16576732
16,13,16579917
239,249,16584686
281,281,16622833
239,239,16635171
261,261,16644311
282,283,16644487
239,249,16653437
112,131,16679982
264,265,16689880
262,262,16735805
284,285,16743886
286,287,16765283
288,289,16769721
39989,290,16798524
140,145,16810212
111,111,16815935
111,111,16816001
221,291,16816353
107,292,16822193
107,292,16822305
293,293,16823371
295,211,16837417
296,296,16848790
297,111,16849829
298,299,16852919
300,301,16854355
273,302,16855661
303,303,16889519
304,296,16893012
304,305,16896756
306,306,16901185
296,304,16908276
305,296,16910729
305,307,16940536
272,272,16942415
5,27,16943036
308,309,16943260
310,311,16978600
188,188,17001232
312,111,17004092
39990,313,17009421
314,315,17012899
316,316,17018125
276,276,17019040
317,317,17020237
314,309,17022695
314,309,17024605
140,318,17061306
68,211,17121933
140,145,17154969
109,319,17158248
320,320,17164260
184,184,17169022
184,184,17169125
321,322,17192227
206,206,17242866
206,206,17242866
188,188,17246610
146,146,17254268
323,324,17266217
325,325,17276935
68,68,17285939
39989,326,17286126
327,328,17294897
39991,329,17337590
330,330,17340185
330,330,17340185
45,45,17349798
331,62,17360657
44,15,17370921
37,37,17378318
68,211,17409985
85,211,17411020
70,95,17416549
105,334,17420251
335,335,17421444
5,27,17421668
296,305,17446157
68,68,17447163
206,207,17448524
336,336,17450197
68,211,17450564
305,296,17454427
320,320,17456242
245,337,17458306
68,68,17467204
335,219,17491183
335,219,17491212
60,338,17496831
316,316,17499571
45,45,17503668
336,339,17505536
305,340,17505931
341,341,17507246
342,279,17511950
343,343,17517907
344,344,17531657
239,249,17544203
270,271,17547524
308,309,17556811
345,345,17578635
345,345,17578675
298,299,17588270
300,347,17592712
308,314,17635094
350,351,17675125
70,70,17680104
70,70,17680131
352,353,17686244
354,355,17690208
202,202,17702410
202,202,17702410
356,357,17712780
314,309,17713832
358,352,17747242
296,296,17753492
325,325,17786220
356,359,17792240
302,302,17820624
360,361,17865335
57,82,17871438
45,82,17871568
362,82,17871634
298,299,17873203
363,364,17874267
365,365,17877948
208,68,17878013
57,57,17891998
68,68,17896053
82,45,17925079
24,24,17928704
366,366,17929672
146,146,17934185
367,368,17949352
39,316,17950918
68,211,17955636
369,370,17956122
295,211,17956252
208,211,17956358
371,334,17964249
372,372,17965155
371,371,17969040
130,373,17970402
82,57,17981733
215,215,18017664
303,303,18020580
275,275,18024571
275,275,18024571
357,356,18025035
374,375,18032523
111,297,18050390
208,295,18053328
336,336,18056638
376,376,18063454
377,378,18102892
272,379,18107144
380,380,18118614
381,382,18119422
338,338,18138787
367,367,18142861
264,383,18144520
16,16,18146430
135,384,18147384
295,211,18148787
385,386,18151926
387,371,18182489
388,389,18186024
297,297,18192595
297,297,18192846
297,297,18193163
278,277,18193999
367,367,18194835
377,390,18215484
273,273,18220920
391,391,18228378
239,249,18229015
208,295,18230559
51,392,18235864
159,268,18242805
66,66,18248726
159,268,18283412
171,171,18311920
393,394,18358908
68,68,18412278
68,211,18413867
68,68,18414629
290,290,18446762
171,171,18449153
395,395,18452283
150,172,18475683
239,249,18496874
195,195,18499273
396,397,18501018
239,239,18502654
45,45,18539386
398,398,18542171
44,15,18549123
300,300,18550654
308,309,18554268
308,309,18554288
5,27,18564312
239,249,18569131
387,387,18581698
70,95,18658546
269,370,18705163
55,55,18705831
228,229,18723155
228,228,18723441
399,399,18729275
399,399,18729275
400,400,18734562
181,187,18781419
401,401,18815329
300,300,18828508
402,402,18833010
138,403,18860646
404,405,18890683
296,304,18915101
253,253,18923919
47,47,18924034
57,406,18974452
16,79,18988508
125,407,18988805
408,409,19005165
39992,410,19005771
44,15,19017229
363,363,19020531
132,132,19051806
411,412,19071162
15,44,19072606
413,414,19087644
374,415,19104826
407,416,19136368
417,414,19156607
146,146,19168828
23,418,19190545
296,305,19191286
307,305,19191304
76,419,19213790
23,420,19229762
421,422,19234842
388,388,19264731
304,296,19268922
423,423,19270247
423,423,19270247
423,423,19270425
396,397,19288230
424,399,19300372
425,425,19317864
10,426,19345467
427,428,19353963
429,419,19354848
195,195,19419686
38,316,19422586
70,70,19436157
317,430,19440658
360,361,19482855
374,431,19499140
239,432,19507186
240,432,19507360
380,380,19521359
44,433,19595416
236,236,19599202
434,410,19618284
435,435,19664805
417,436,19682602
89,421,19690946
437,438,19695310
421,422,19711172
89,422,19711768
272,439,19766145
380,440,19767886
380,441,19779116
17,18,19780917
442,410,19795255
140,145,19831785
413,443,19868148
5,27,19880502
444,425,19916145
435,435,19920974
435,435,19920974
305,296,19922465
435,445,19925490
444,446,19948939
413,447,19965322
400,400,19966183
448,449,20008611
435,450,20011551
451,361,20025126
77,77,20029300
452,453,20033053
454,384,20038788
455,455,20046836
174,174,20051138
456,457,20086928
458,24,20092410
459,460,20128560
454,384,20133697
239,240,20142896
185,461,20183677
462,463,20280654
464,276,20296652
165,465,20341599
275,243,20362148
31,31,20373342
454,454,20379114
360,361,20380565
25,26,20388218
466,467,20389964
462,69,20440639
468,469,20447289
259,97,20447880
320,320,20452932
69,462,20456306
380,440,20484855
380,440,20484855
470,471,20536263
259,97,20538505
472,473,20539728
474,475,20539843
33,449,20542006
107,292,20545248
476,476,20547968
70,95,20550342
68,211,20559048
477,478,20567310
479,480,20574804
481,481,20601899
482,482,20608877
24,458,20612118
246,483,20625515
374,484,20645857
454,454,20655425
485,475,20695819
44,486,20704882
70,70,20726706
487,488,20742833
489,489,20744530
228,229,20780998
228,229,20781060
185,186,20792054
435,490,20810844
5,27,20915776
456,456,20950441
491,491,20990992
493,493,21015261
14,494,21035310
82,45,21041642
297,111,21071036
496,497,21116146
498,499,21127770
435,490,21175214
491,500,21206062
501,502,21210599
503,503,21211444
239,239,21214737
321,322,21223054
321,322,21223054
321,322,21223244
496,504,21229255
505,379,21257794
506,358,21262054
503,503,21294961
507,507,21295194
508,509,21295718
512,509,21333279
513,206,21333414
514,515,21345852
516,54,21482231
358,517,21485329
518,518,21495125
519,269,21495426
520,521,21495456
520,521,21495616
505,379,21496621
185,461,21503793
513,513,21506341
468,468,21517866
209,523,21519253
477,524,21519925
525,526,21581856
70,95,21597970
527,528,21648508
435,490,21722492
435,490,21723393
64,529,21725849
262,262,21775222
530,530,21803444
363,364,21805664
111,111,21812410
513,531,21829856
532,533,21841363
336,534,21855728
535,535,21857539
536,90,21863348
537,538,21895462
13,13,21906044
539,540,21908826
512,540,21921094
541,542,21950234
259,543,22100935
240,240,22103282
212,212,22105178
112,113,22119872
544,496,22126747
401,401,22136280
151,152,22191824
545,545,22196655
146,146,22209262
64,546,22263661
39989,326,22301218
23,418,22365322
39994,449,22383495
352,353,22399154
342,279,22406400
57,82,22417835
547,547,22428162
459,459,22432420
70,70,22442668
548,549,22445077
296,296,22469897
68,68,22473915
550,550,22503224
551,522,22509930
23,95,22593000
135,552,22610637
442,410,22694264
553,554,22710619
555,556,22729247
513,513,22763532
206,513,22763700
139,203,22808531
39995,557,22813360
558,559,22815186
560,560,22815751
561,562,22841434
563,522,22859875
560,315,22872921
520,564,22878497
565,566,22891000
520,520,22897419
567,567,22943297
520,564,22958405
421,421,22964241
49,50,22981195
568,568,22989921
569,570,22990506
320,320,23024943
39,316,23025464
571,571,23027792
571,571,23027792
358,517,23037189
39989,412,23052982
563,479,23057225
479,563,23059648
572,497,23064095
573,574,23069740
185,461,23072005
513,206,23150418
561,575,23150959
576,576,23155122
316,38,23159546
316,39,23159863
316,577,23212451
578,579,23234049
578,579,23234060
520,564,23234888
451,451,23295478
489,580,23310847
459,419,23321752
459,419,23321752
459,419,23321773
581,581,23331165
581,581,23331350
582,583,23363648
316,584,23375929
356,357,23406427
520,564,23411811
161,585,23418200
296,296,23420788
520,564,23431431
586,587,23447222
113,131,23475806
112,131,23475901
520,564,23488306
520,564,23488774
588,588,23489113
589,506,23489948
590,557,23501050
591,592,23501412
112,131,23504621
204,593,23513065
594,595,23543496
596,597,23544798
579,578,23549825
598,598,23555614
539,599,23558910
600,601,23564371
520,564,23570144
602,603,23583356
578,579,23585740
303,303,23585773
454,454,23595968
536,604,23626527
605,606,23642632
536,607,23663470
608,609,23665836
320,320,23668813
610,611,23670448
456,456,23712407
612,456,23734248
401,401,23773237
613,614,23796086
342,279,23814688
451,451,23825020
68,211,23851639
615,616,23982083
617,617,23986855
618,619,24006965
68,68,24025546
68,68,24025546
207,279,24066256
456,612,24076809
612,612,24076921
620,621,24090035
188,622,24096564
64,65,24144907
57,45,24153056
374,623,24156306
374,623,24156507
366,366,24158238
366,366,24158238
610,610,24160487
550,550,24171280
620,620,24178276
596,596,24185270
514,515,24198421
514,515,24199019
625,626,24201173
241,627,24236314
628,629,24254939
520,564,24259129
630,631,24260842
632,632,24272334
633,634,24273444
635,636,24273844
17,631,24274129
264,265,24275205
617,410,24367100
637,638,24412572
139,639,24434841
625,626,24453673
625,625,24455599
625,626,24493236
374,623,24503498
520,564,24505067
625,625,24514707
625,626,24521347
520,564,24527156
293,640,24534063
374,623,24557953
374,623,24559746
142,220,24568759
576,641,24576151
642,642,24593442
642,642,24593442
366,366,24609155
366,366,24609155
207,279,24612698
363,364,24673064
468,468,24676604
276,276,24696549
643,644,24701510
220,142,24759522
13,30,24760812
380,645,24765678
273,274,24770413
209,523,24782046
646,208,24783915
647,648,24796281
633,649,24797753
142,220,24798055
646,211,24813596
193,194,24829659
387,334,24841542
610,611,24852175
650,598,24853728
363,364,24871452
576,539,24871454
220,142,24877583
651,439,24929730
485,652,24942460
520,564,24946361
512,512,24961193
651,653,24968963
520,564,24974702
654,655,25030863
656,656,25045999
657,658,25058504
659,660,25076251
596,661,25130616
660,659,25137267
596,596,25152404
264,265,25152706
23,420,25183685
83,83,25187222
663,664,25199973
520,564,25218483
666,667,25221888
68,68,25232135
668,669,25232155
281,670,25232454
520,564,25233691
578,579,25240659
111,291,25272801
668,671,25282585
673,672,25285329
674,675,25299097
676,676,25310695
677,678,25312989
677,678,25313009
675,673,25319646
660,660,25324474
74,601,25369351
74,601,25369435
512,679,25381833
680,352,25393373
459,681,25405036
520,564,25421254
293,293,25439973
459,413,25440716
682,683,25454838
684,647,25461668
459,614,25474452
685,686,25488139
687,611,25492282
687,611,25492282
241,627,25529391
598,650,25539494
520,564,25553674
688,689,25565923
13,88,25580358
690,691,25626040
39998,692,25626400
520,564,25633854
693,592,25651188
694,695,25660441
296,296,25699328
39998,692,25702623
374,623,25723928
696,696,25723955
697,698,25725807
342,279,25728900
520,564,25739612
520,564,25745868
596,596,25751893
220,225,25760763
195,195,25761973
435,490,25787521
700,700,25788412
700,700,25788673
520,564,25789326
520,564,25789359
321,321,25804875
670,281,25805620
701,701,25805961
702,703,25811771
305,296,25812762
520,564,25840836
220,227,25843584
704,32,25849313
342,342,25868835
342,279,25876521
539,705,25881192
520,564,25888913
366,706,25889910
707,707,25902363
708,675,25903118
596,597,25927790
598,612,25975171
520,564,25992005
520,564,26028051
520,564,26044200
374,623,26057858
336,339,26059911
709,709,26072386
710,710,26096731
711,712,26102107
713,714,26103196
715,716,26127333
717,717,26131777
241,627,26132915
682,718,26149026
719,720,26155214
721,722,26159537
180,180,26171258
520,564,26175523
520,564,26175523
596,596,26182048
596,596,26182048
596,596,26182048
723,723,26182923
724,725,26219223
525,525,26227157
726,648,26239458
724,445,26243887
727,727,26273283
709,701,26288637
728,728,26299222
709,729,26303894
470,471,26310592
223,223,26330314
459,419,26336175
363,190,26356103
166,167,26361418
710,710,26391884
88,13,26400428
730,730,26402141
731,731,26412808
352,680,26427181
374,374,26428711
693,592,26433239
732,733,26434173
374,623,26484022
5,27,26531747
66,243,26547609
503,503,26580751
520,564,26581877
635,636,26587738
734,735,26606061
70,70,26608443
539,599,26616064
539,640,26616473
736,737,26616937
738,738,26620409
738,738,26620409
738,738,26620409
738,738,26620409
738,738,26620409
596,597,26621096
696,449,26641531
539,705,26652229
539,705,26652256
739,739,26671013
457,457,26674362
625,740,26675581
241,627,26687984
539,741,26702402
687,611,26708357
742,743,26709551
744,744,26734450
70,71,26741372
745,744,26750703
746,747,26792675
748,749,26793931
240,432,26797561
477,750,26804076
751,468,26834464
734,735,26889331
713,752,26949399
753,754,26962967
17,630,26971534
755,755,26981501
756,757,26999659
610,610,27015103
10,15,27016437
39991,758,27019490
759,760,27027594
761,762,27029280
761,762,27030074
330,330,27079934
327,764,27085175
765,752,27091349
721,766,27101650
710,710,27102878
767,562,27107634
708,675,27118570
654,654,27120863
768,769,27131781
770,771,27134615
755,755,27144394
772,773,27145371
625,626,27163232
625,626,27172910
774,774,27176645
775,775,27180422
776,777,27182473
745,745,27182516
369,778,27182966
363,190,27193282
779,780,27198614
374,484,27205786
781,782,27210607
610,610,27213893
466,467,27220190
783,784,27251141
105,334,27256858
785,786,27261575
184,787,27281046
693,788,27286661
789,790,27290132
791,792,27293190
793,543,27299680
223,223,27299805
646,211,27308013
288,794,27308594
591,592,27309168
795,16,27313715
796,758,27349679
314,309,27350022
753,797,27351749
60,62,27380696
798,799,27404030
765,752,27430317
588,588,27431773
579,578,27441341
800,801,27451836
707,707,27521917
802,449,27536422
588,588,27541415
520,564,27556361
109,803,27583213
518,803,27584067
804,804,27615634
520,564,27630792
530,530,27633945
806,806,27713096
807,807,27734134
808,809,27752863
70,190,27769130
236,236,27771752
302,810,27780925
334,334,27789138
573,811,27802746
401,401,27827352
275,22,27829729
812,812,27834562
17,18,27866986
70,95,27872350
682,813,27873522
814,815,27885319
746,747,27892100
617,617,27960400
816,816,27967300
817,817,27977193
818,819,27977338
70,820,27982558
821,821,27987579
748,822,27996209
520,564,28008371
336,336,28028727
823,824,28101568
825,824,28102639
466,467,28140122
826,826,28161684
372,827,28168927
47,828,28172359
829,830,28244082
264,265,28259481
561,562,28286380
429,429,28298721
496,504,28306649
831,754,28308596
358,517,28315258
832,833,28337245
72,834,28338989
835,836,28374359
55,55,28375647
40001,556,28389043
837,837,28395711
781,782,28396587
827,372,28408210
72,838,28420461
839,840,28423899
107,107,28426380
795,803,28427241
70,95,28432422
503,841,28468377
374,623,28477969
842,652,28478706
835,843,28480633
835,843,28480646
610,610,28490862
738,532,28503889
844,418,28505276
374,415,28506075
363,190,28506635
596,661,28507663
775,21,28512449
498,845,28512886
374,846,28513195
739,847,28524455
470,471,28557267
848,849,28557959
146,146,28559208
850,370,28564627
453,452,28568820
748,748,28571233
851,794,28594679
125,126,28600685
852,853,28601480
785,785,28602580
670,281,28650913
421,854,28661537
200,855,28678580
357,356,28680431
281,670,28682352
856,855,28697671
10,15,28703169
857,858,28704173
859,860,28737141
861,862,28753113
863,864,28754751
137,865,28756546
866,867,28763566
823,824,28765566
868,868,28770113
155,156,28773079
86,84,28774002
525,526,28776840
742,869,28777764
775,775,28808576
870,870,28810288
369,871,28821390
17,18,28821879
872,873,28831463
625,740,28832357
748,874,28850630
17,631,28852398
630,631,28852716
875,876,28863033
875,875,28863120
296,296,28863835
877,878,28865595
868,868,28874059
879,490,28890486
765,752,28898329
713,752,28899555
161,585,28906494
307,307,28917107
417,874,28923544
868,880,28925671
618,881,28931186
635,636,28937215
882,882,28939314
372,827,28940154
39987,883,28941275
827,372,28941290
617,410,28960110
188,884,28989191
188,884,28995906
474,475,28997625
485,475,28997920
140,145,29004181
767,562,29010408
885,886,29014504
694,887,29018945
851,888,29026876
694,694,29027172
872,872,29029289
889,792,29032588
334,387,29037911
618,890,29043483
491,891,29048169
892,788,29071587
748,893,29073222
892,591,29080660
894,895,29080715
793,793,29097113
896,897,29105899
898,897,29106194
413,897,29109384
334,105,29110739
899,899,29116875
520,564,29127787
900,901,29152663
779,780,29160207
902,903,29181710
748,822,29186180
596,661,29199991
40002,711,29204285
489,904,29205667
708,675,29210582
713,752,29212606
806,905,29213107
666,906,29218626
137,266,29219144
907,792,29234094
713,714,29247701
907,812,29252847
802,449,29256736
821,821,29264879
908,484,29268160
909,909,29273982
713,70,29275675
907,549,29278265
713,910,29278364
40003,497,29280889
264,265,29282251
911,912,29290457
275,243,29291562
133,134,29295693
510,913,29333107
711,510,29333883
914,914,29346135
915,916,29354032
673,917,29363021
918,497,29363337
919,920,29363697
765,752,29373632
39989,412,29376837
520,564,29377459
381,853,29381209
921,921,29404713
40004,922,29416868
868,868,29424430
70,95,29425446
221,879,29426918
923,923,29433581
924,925,29439192
913,711,29452652
913,711,29452699
635,636,29455029
635,636,29455093
715,449,29456386
882,926,29457138
927,928,29460206
241,242,29462989
807,807,29466010
929,929,29467354
241,242,29468846
930,931,29482228
518,803,29504859
932,477,29505825
411,412,29506709
591,592,29513685
933,934,29522979
933,935,29525687
625,740,29528944
936,936,29534133
937,540,29534894
592,591,29543787
892,591,29544279
374,938,29550808
146,146,29551819
868,939,29558649
939,868,29559691
940,740,29588857
625,626,29590053
591,892,29591004
941,942,29591816
17,631,29594170
40005,943,29595931
870,870,29602390
702,944,29604124
702,944,29604143
702,944,29604158
913,913,29616313
937,945,29620729
937,946,29621922
937,946,29621930
933,947,29629874
806,906,29630341
539,806,29636273
806,539,29637408
948,949,29638146
835,949,29638434
273,274,29640816
950,950,29643564
951,951,29643761
302,952,29644239
625,740,29649306
953,954,29650583
625,740,29650726
17,18,29671878
955,956,29673845
200,855,29676699
468,468,29676778
806,957,29680012
958,959,29681228
296,960,29682600
961,962,29688286
40006,506,29688443
963,963,29690921
909,909,29691602
668,583,29697228
964,965,29697969
496,504,29705387
357,276,29721076
13,966,29723341
967,968,29725233
13,13,29728020
109,319,29733826
969,969,29758326
109,922,29770275
17,631,29773509
109,970,29776784
806,973,29784490
974,975,29785213
976,977,29802098
9,9,29803088
723,869,29803339
748,978,29809306
979,980,29819034
377,390,29821541
694,982,29887799
983,983,29890204
520,564,29890412
984,420,29940939
489,985,29943196
666,986,29950637
625,740,29951803
987,987,29956028
625,740,29962289
823,988,29964036
518,803,29969102
413,989,29975722
990,990,29976520
625,626,29976557
109,110,29977449
991,992,29981492
62,54,29982333
146,146,29984430
993,994,29984661
625,626,29985652
596,661,29986687
625,740,29988820
520,995,29989240
510,996,29993087
625,740,29996493
625,626,30000177
997,989,30028856
675,673,30035154
44,243,30037664
625,740,30042714
302,810,30047428
625,740,30055132
70,471,30062291
512,679,30068811
596,597,30070822
520,564,30074944
998,512,30076371
276,357,30081684
264,265,30081799
356,357,30081833
510,711,30111786
999,842,30121438
1000,769,30122202
1001,1001,30123640
870,870,30124040
429,1002,30130854
489,1003,30136233
40007,881,30139341
748,749,30139566
998,1004,30140858
998,1004,30140916
1001,1001,30145024
748,1005,30145913
842,999,30149713
630,631,30151214
882,926,30151831
40008,1006,30151893
520,564,30152168
209,1007,30152605
872,872,30153913
1008,1009,30156230
742,743,30157606
625,740,30157792
868,868,30158926
1010,1011,30161723
1010,1011,30165063
868,939,30192481
748,1012,30192642
590,1013,30193720
608,1014,30212167
998,1015,30215848
1016,1017,30217576
281,670,30218236
704,824,30219991
670,281,30225069
1018,1019,30226403
401,401,30230082
1020,1021,30236961
281,1022,30239623
207,263,30248465
573,1023,30248651
10,15,30257041
395,1024,30275610
932,477,30282662
477,477,30283267
635,636,30289979
13,1025,30293430
40007,1002,30296202
1026,1026,30301358
477,932,30307204
842,1027,30329783
635,636,30330940
635,636,30331112
1028,422,30331469
6,6,30337451
710,1029,30339135
748,749,30365963
976,749,30366593
1030,1031,30370346
1032,741,30380679
1033,1034,30380993
615,1035,30385534
1035,615,30386309
615,1035,30386581
615,1035,30386594
1035,615,30386882
350,1036,30388931
72,1037,30389661
687,611,30390138
812,812,30398803
6,849,30402989
1026,1026,30407332
1036,350,30412245
1032,1038,30416244
625,626,30419209
625,626,30419794
10,15,30421821
358,1039,30428770
732,1040,30433611
45,1041,30437050
39992,778,30444441
615,1035,30453889
998,1042,30476787
563,479,30477723
1035,615,30481182
625,626,30483034
335,406,30486477
45,406,30486615
1043,442,30489455
1044,1007,30490113
1045,1046,30518819
510,996,30520721
625,626,30540086
13,16,30553042
16,13,30554213
1047,1009,30559526
1048,1049,30560374
520,521,30562414
377,1050,30564669
1051,546,30571260
821,821,30574426
510,510,30574939
1052,1053,30577403
806,905,30578841
630,631,30580217
1054,1054,30580880
1052,974,30581405
974,1053,30583754
625,1055,30594385
625,1055,30594415
510,996,30598241
848,849,30615979
615,1035,30623194
1035,615,30624956
615,1035,30629007
13,16,30629347
13,16,30629402
772,1057,30630011
16,13,30635556
615,1035,30640550
1058,1059,30641133
823,824,30641805
376,376,30643023
1060,1061,30643401
1062,1063,30643826
777,777,30644132
675,708,30645020
615,1035,30645696
1064,1065,30647603
839,1066,30648245
772,772,30651345
1036,1067,30656853
610,610,30658926
147,1068,30663981
296,960,30672985
625,1055,30674676
5,27,30675548
1069,1066,30676833
795,1070,30689652
1071,1071,30708619
1071,1071,30708667
132,983,30717143
631,970,30720198
631,1072,30720561
70,95,30721463
1073,1073,30723930
1074,1074,30726056
1071,870,30726823
631,630,30727549
1016,1075,30730330
1030,1031,30733300
748,748,30733756
631,1076,30737766
1077,1078,30741329
1016,1075,30744950
1061,790,30749293
777,777,30753566
748,822,30754697
997,997,30756276
1079,1079,30758209
1080,1081,30759773
1061,1060,30762150
1061,1060,30762171
821,821,30765132
1076,1082,30780190
1083,1084,30795372
1083,1084,30795428
939,732,30803295
1071,1071,30805151
1085,1013,30805820
10,1086,30806954
70,190,30808801
631,1087,30810277
615,1035,30810954
1088,1088,30812537
1035,615,30812858
615,1035,30813809
1048,210,30814760
742,1089,30815924
625,1055,30818812
625,740,30824614
642,1090,30826284
1091,1092,30826581
477,750,30827396
739,134,30834020
1093,1093,30838953
39,316,30848038
427,1094,30852841
219,744,30857511
1095,1096,30880995
625,740,30891600
1097,1098,30893986
308,309,30894543
1099,1100,30894653
220,225,30900031
576,641,30903747
1101,1102,30914039
724,1102,30914177
536,1102,30914197
281,670,30916061
586,587,30917041
6,6,30925508
1104,1104,30927151
673,917,30927316
1105,1106,30928760
536,536,30957124
1073,1073,30965767
952,159,30972273
868,880,30973327
927,928,30978118
685,685,30978842
1030,1107,30980592
615,1035,30981305
1035,615,30984905
625,740,30987669
615,1035,30990237
1035,615,30998920
806,1042,31005980
146,146,31007861
625,1055,31009070
625,1055,31009082
728,1108,31009421
140,145,31012996
296,960,31017977
596,661,31024724
1092,1091,31025436
1106,1105,31056285
1109,1110,31059189
1110,1109,31059379
1111,1111,31068027
342,279,31082442
165,465,31101765
625,1055,31103084
